模塊,章節,編號,單元名,單元描述,備註補充,學習目標
核心軟實力,現代人的高效學習法,11,珍惜你的「新手時刻」,,寫作是平凡人最好的投資,
核心軟實力,現代人的高效學習法,12,學習的終極目的：執行力,累積專案、解決問題,"畫流程圖，重複、應用、內化
任務拆解 WBS → 知道怎麼一步步做下去",
核心軟實力,現代人的高效學習法,13,三階段閱讀法：如何有效閱讀？,第一階段：篩選集合，幫助專注閱讀 第二階段：主題研究，連結真實經驗 第三階段：安排任務、完整輸出、留下作品,,
核心軟實力,現代人的高效學習法,14,三階段閱讀法：連結真實經驗、知識萃取,,,
核心軟實力,精準提問,15,強大自學能力的要素：提問能力,,,
核心軟實力,精準提問,16,掌握 AI 時代的搜尋與提問技術,基本上你想做的事情 99% 都有人做過了，那你有沒有辦法快速找到經驗來參考學習？,,
核心硬實力,數位工具力,17,你使用的生產力工具，決定了你與一般人的差距,展示雷蒙的數位工具地圖，每個不同情境下的工作流,"怎麼工作比你努力工作更重要
拍攝方式應該會很多螢幕實際操作畫面搭配？數位工具地圖
【實作】",
核心硬實力,數位工具力,18,真正有效的第二大腦：不是收藏分類,常見第二大腦的陷阱？別再收藏，你不是圖書館員。,,
核心硬實力,數位工具力,19,真正有效的第二大腦做法：是解決問題的系統,【實作】,不一定要讓學員都用上 PAI 系統，所以下一講會講「執行力」，能立刻回歸到「問題解決、專案累積」上的都是好的筆記方法。,
核心硬實力,數位工具力,20,AI 指令框架全指南,Prompt 只是最初階的第一步，更重要的是如何建立一套可重複運用的系統性方法,,
核心硬實力,人生複利：復盤的技術,21,有效復盤（上）：10 倍速成長,搭配 AI 工具，快速回顧、瞭解自己,,
核心硬實力,人生複利：復盤的技術,22,有效復盤：（下）：目標到底怎麼設定,"【實作】
目標設定不是去參考別人，而是回顧自身
OKR 的個人進化版",含「引入回饋」,
核心硬實力,寫作,23,寫作是平凡人最好的投資,,,
核心硬實力,寫作,24,寫作實戰：怎麼從零開始寫出觀點？,結合 AI 工具，幫我們拓展認知邊界,,
個人品牌,擴大影響力,25,如何在自己的圈子中創造影響力？,有結果、可交換、易複製、必須得是你,專案作品、問題解決能力,
個人品牌,擴大影響力,26,為什麼要寫個人使用說明書？,撰寫個人使用說明書能增強自我認知、提高合作效率，並最大化優勢與規避弱點，幫助個人在工作與生活中更好地發揮長處。這是一種有效的自我管理策略。,寫清楚「怎麼跟你合作最順」，是你給世界最實用的一份說明書。,
個人品牌,擴大影響力,27,你應該避開的個人品牌誤區,,,
個人品牌,擴大影響力,28,不只是人脈，盤點你品牌資產,品牌資產包括：信任、作品、通路、影響力等,,
協作力,團隊協作,29,職場中常見的坑：學生思維。,在職場裡，我們不是不能要求學習跟資源，而是該如何與公司和老闆交換與博弈，讓老闆覺得划算，給你才是正確的決定！,,
協作力,團隊協作,30,不靠會議，也能推動專案：非同步溝通,,,
協作力,團隊協作,31,團隊知識手冊：提高新人訓練、老事重做的效率,,"承上起下作用
從個人使用說明書 → 團隊版本
也是符合「重複運用」節省時間，來開啟「效率管理」",
協作力,團隊協作,32,如何談成一場好合作？,最好的合作，不是雙贏，而是「對方覺得你讓他贏」。,"承上起下作用
從個人使用說明書 → 團隊版本
也是符合「重複運用」節省時間，來開啟「效率管理」",
效率管理,真正的時間管理,33,時間管理的誤區：不是去管理時間,,,
效率管理,真正的時間管理,34,行事曆和待辦清單的正確用法？,,用截圖來講述即可,
效率管理,真正的時間管理,35,我的任務管理系統,"【實作】
Inbox + Notion Task + Notion Calendar",真正的任務管理，不是把事情寫下來，而是讓你知道下一步該做什麼。,
效率管理,精力管理,36,保護你的精力，遠離有毒的人,不是你沒時間，是你太常消耗在錯的人事物上。,,
效率管理,精力管理,37,刻意保養你的內在動機,持續行動的關鍵不是自律，而是動機有源頭。,,
效率管理,精力管理,38,打造自己的工作環境、桌面、儀式感,外在空間設計能強化內在狀態與效率 打造儀式感，不是浪漫，而是為了進入最佳工作狀態。,,
副業發展,發展副業,39,什麼是好的產品＆超級個體的商業模式？,從我的年度營收分析，來看我的產品服務設計和變化,"你過往的解決方案，就是好的產品。
分享我當時從 Podcast、內容訂閱、線上課程……等專業服務的產品設計經驗分享",
副業發展,發展副業,40,超級個體的多元收入組合,從我的年度營收分析，來看我的產品服務設計和變化,"你過往的解決方案，就是好的產品。
分享我當時從 Podcast、內容訂閱、線上課程……等專業服務的產品設計經驗分享",
副業發展,發展副業,41,重複販售你的時間：綜效和複利,我們學習更多，最終都是為了提高單位時間的售價,"更著重講，為什麼我的「數位產品 >>> 服務 和 廣告業配」
「斜槓多元收入」的真正定義？別成為了累死的多重打工仔
做個聰明的「時間買賣人」",
副業發展,一人公司＆自由職業態,42,超級個體 vs 個人品牌 vs 一人公司,,個體經營是一種行為，個人品牌是結果，一人公司是模式,
副業發展,一人公司＆自由職業態,43,你適合遠距工作＆自由職業嗎？,不是每個人都適合遠距，先自我檢查,,
副業發展,一人公司＆自由職業態,44,個人化商業模式全解構：免費試吃品到付費產品,,這一單元專門講我設計的漏斗（用戶路徑）＆免費試吃品,
人生設計,打破舊有認知,45,我們為什麼要工作？不只是薪水,人為什麼需要工作？薪水只是短期價格，不是工作的本質。傳統社會認為好的工作，是值多少價格，但常常忘記，價格之下更深層的是：「被需要的價值」。除了錢之外，我們如何在工作上尋找自己「被需要的價值感」？如果我們是用人主管，我們該如何讓員工能主動參與工作，成為工作狂？,,
人生設計,重塑自我,46,如何做出最好的選擇？價值觀,你不是做錯選擇，而是沒搞懂你真正的價值排序。,可以搭配 AI 對話輔助，深化自己的價值觀和選擇方案,
人生設計,重塑自我,47,選擇擅長但犧牲喜歡，這是一個人生陷阱,選擇擅長的事而犧牲熱愛可能導致短暫的成功，但長期內缺乏滿足感。熱愛是持續投入的關鍵，應優先追求熱愛並透過練習變得擅長，而不是被市場需求所束縛。,,
人生設計,工作與生活整合,48,組合式工作,與其讓工作和生活對立，不如讓工作與生活整合的方法？,,
人生設計,工作與生活整合,49,問答：朋友、知己、人生伴侶怎麼找？,找對人比找對工作更決定你的人生路線,,
人生設計,工作與生活整合,50,找到你真正的事業，告別職業迷茫,,"再重新帶一次 KIT 模型，做為課程結尾
以終為始，帶入一些真實用戶的故事，峰值體驗！",
職人訪談,,51,一年六場直播,,,
